"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Rest or Cross Train","Day Off","This is a good day for resting or doing some active recovery. You could do some recovery effort cycling, hiking, walking, yoga, swimming etc. Keep it light and easy :)","","","2025-06-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Effort Ride","Bike","","2","","2025-06-01","","34362.05859375","197","297","702.799","","0.990277767181396","9.63799953460693","","91","","129","155","","","0.859436098538012","72.62","46","17","0","0","0","","","","","","19","8","18","15","2","0","","","","","3",""
"Zwift - Anaerobic on Volcano Flat in Watopia","Bike","","","","2025-06-01","","32063.6796875","181","471","794.831","","1.01055550575256","8.8129997253418","","88","","128","160","","","0.88262163518428","78.22","58","14","3","0","0","","","","","","45","6","5","8","0","9","","","","","",""
"Easy Effort Ride","Bike","","1","","2025-06-02","","35161.46875","186","704","681.757","","1.01388883590698","9.63300037384033","","91","","124","141","","","0.779142920593167","61.2","61","0","0","0","0","","","","","","11","26","24","0","0","0","","","","","",""
"Easy Effort Ride","Bike","","1","","2025-06-03","","38570.421875","188","292","796.81","","1.17277777194977","9.13500022888184","","90","","130","163","","","0.875485929309965","89.35","49","11","13","0","0","","","","","","16","34","0","0","21","0","","","","","",""
"Trail Running","Run","","","","2025-06-04","","10618.650390625","391","631","1422.677","","1.00954282283783","2.92199993133545","","162","","145","164","","","0.69472146372979","53.98","24","24","16","0","0","","","","","","1","1","2","3","8","48","","","","","3",""
"Threshold Climb 3 x 10 min","Run","Find a hill that will allow for consistent running for 10min. On the run down - the time is relatively short so you won't be able to get back to your start point in time. So pick a long enough climb to allow for consistent running up. Good spots: - Glen beach - Lions Head - Constantia Nek - Vredehoek - Blockhouse - Chapmans Peak Hike start - Noordhoek Peak - Silvermine gate - Noorhoek Peak - Tokai - Constantiaberg - Up Saaltjie - Mont Rochelle Gate to Du Toits","1.1","","2025-06-06","","12478.33984375","421","1155","1671.314","","1.10138392448425","3.1470000743866","","165","","152","180","","","0.748801474593273","68.58","26","8","17","19","0","","","","","","0","0","2","9","10","45","","","","","3","5"
"Zwift - Mosaic on Scotland Smash in Scotland","Bike","","","","2025-06-07","","80220.6328125","189","528","1718.305","","2.51416659355164","8.86299991607666","","87","","138","163","","","0.836060237986516","175.44","78","65","13","0","0","","","","","","39","40","38","17","16","1","","","","","",""
"Long Trail Run (Vert Focus)","Run","Look for long, sustained climbs with significant vertical gain where possible. (i.e. platteklip, devils peak, Newlands Ravine, nursery ravine, Constania Nek, Constantiaberg, etc.) Ideally >500m+ or as much vertical gain per kilometre as the event you are training for e.g. UTCT 55km has 49m+ per km so in a 20km long run you want to get ±980m+","3.5","","2025-06-08","","30706.330078125","303","521","3698.334","","3.38749074935913","2.51799988746643","","152","","141","174","","","0.665454281958103","171.32","110","63","37","2","0","","","","","","14","10","14","27","27","111","","","","","",""
"Rest Day","Day Off","Allows you to recover and promotes adaptation to the training load and stresses. It also helps prevent fatigue and keeps you injury free. Focus on: nutrition, sleep, feet up!","","","2025-06-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
